10001 3
-4.800000000000000000e+01 3.000000000000000000e+00 6.000000000000000000e+00
-4.799000000000000199e+01 3.000000000000000000e+00 6.200000000000000178e+00
-4.797999999999999687e+01 3.000000000000000000e+00 6.200000000000000178e+00
-4.796999999999999886e+01 3.000000000000000000e+00 6.200000000000000178e+00
-4.796000000000000085e+01 3.000000000000000000e+00 6.400000000000000355e+00
-4.795000000000000284e+01 3.000000000000000000e+00 6.500000000000000000e+00
-4.793999999999999773e+01 3.000000000000000000e+00 6.400000000000000355e+00
-4.792999999999999972e+01 3.000000000000000000e+00 6.700000000000000178e+00
-4.792000000000000171e+01 3.000000000000000000e+00 7.799999999999999822e+00
-4.790999999999999659e+01 3.000000000000000000e+00 6.200000000000000178e+00
-4.789999999999999858e+01 3.000000000000000000e+00 6.200000000000000178e+00
-4.789000000000000057e+01 3.000000000000000000e+00 6.299999999999999822e+00
-4.788000000000000256e+01 3.000000000000000000e+00 6.200000000000000178e+00
-4.786999999999999744e+01 3.000000000000000000e+00 6.299999999999999822e+00
-4.785999999999999943e+01 3.000000000000000000e+00 6.200000000000000178e+00
-4.785000000000000142e+01 3.000000000000000000e+00 6.299999999999999822e+00
-4.784000000000000341e+01 3.000000000000000000e+00 6.200000000000000178e+00
-4.782999999999999829e+01 3.000000000000000000e+00 6.299999999999999822e+00
-4.782000000000000028e+01 3.000000000000000000e+00 6.299999999999999822e+00
-4.781000000000000227e+01 3.000000000000000000e+00 6.299999999999999822e+00
-4.779999999999999716e+01 3.000000000000000000e+00 6.400000000000000355e+00
-4.778999999999999915e+01 3.000000000000000000e+00 6.400000000000000355e+00
-4.778000000000000114e+01 3.000000000000000000e+00 6.400000000000000355e+00
-4.777000000000000313e+01 3.000000000000000000e+00 6.599999999999999645e+00
-4.775999999999999801e+01 3.000000000000000000e+00 6.599999999999999645e+00
-4.775000000000000000e+01 3.000000000000000000e+00 6.599999999999999645e+00
-4.774000000000000199e+01 3.000000000000000000e+00 6.599999999999999645e+00
