10001 3
-8.000000000000000000e+00 3.000000000000000000e+00 1.430000000000000071e+01
-7.998000000000000220e+00 3.000000000000000000e+00 1.430000000000000071e+01
-7.996000000000000441e+00 3.000000000000000000e+00 1.430000000000000071e+01
-7.993999999999999773e+00 3.000000000000000000e+00 1.430000000000000071e+01
-7.991999999999999993e+00 3.000000000000000000e+00 1.430000000000000071e+01
-7.990000000000000213e+00 3.000000000000000000e+00 1.430000000000000071e+01
-7.988000000000000433e+00 3.000000000000000000e+00 1.430000000000000071e+01
-7.985999999999999766e+00 3.000000000000000000e+00 1.430000000000000071e+01
-7.983999999999999986e+00 3.000000000000000000e+00 1.430000000000000071e+01
-7.982000000000000206e+00 3.000000000000000000e+00 1.430000000000000071e+01
-7.980000000000000426e+00 3.000000000000000000e+00 1.419999999999999929e+01
-7.977999999999999758e+00 3.000000000000000000e+00 1.419999999999999929e+01
-7.975999999999999979e+00 3.000000000000000000e+00 1.419999999999999929e+01
-7.974000000000000199e+00 3.000000000000000000e+00 1.419999999999999929e+01
-7.972000000000000419e+00 3.000000000000000000e+00 1.419999999999999929e+01
-7.969999999999999751e+00 3.000000000000000000e+00 1.419999999999999929e+01
-7.967999999999999972e+00 3.000000000000000000e+00 1.409999999999999964e+01
-7.966000000000000192e+00 3.000000000000000000e+00 1.409999999999999964e+01
-7.964000000000000412e+00 3.000000000000000000e+00 1.409999999999999964e+01
-7.961999999999999744e+00 3.000000000000000000e+00 1.409999999999999964e+01
-7.959999999999999964e+00 3.000000000000000000e+00 1.409999999999999964e+01
-7.958000000000000185e+00 3.000000000000000000e+00 1.409999999999999964e+01
-7.956000000000000405e+00 3.000000000000000000e+00 1.409999999999999964e+01
-7.953999999999999737e+00 3.000000000000000000e+00 1.400000000000000000e+01
-7.951999999999999957e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.950000000000000178e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.948000000000000398e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.945999999999999730e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.943999999999999950e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.942000000000000171e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.940000000000000391e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.937999999999999723e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.935999999999999943e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.934000000000000163e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.932000000000000384e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.929999999999999716e+00 3.000000000000000000e+00 1.390000000000000036e+01
-7.927999999999999936e+00 3.000000000000000000e+00 1.369999999999999929e+01
-7.926000000000000156e+00 3.000000000000000000e+00 1.359999999999999964e+01
-7.924000000000000377e+00 3.000000000000000000e+00 1.350000000000000000e+01
-7.921999999999999709e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.919999999999999929e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.918000000000000149e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.916000000000000369e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.913999999999999702e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.911999999999999922e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.910000000000000142e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.908000000000000362e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.905999999999999694e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.903999999999999915e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.902000000000000135e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.900000000000000355e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.897999999999999687e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.895999999999999908e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.894000000000000128e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.892000000000000348e+00 3.000000000000000000e+00 1.330000000000000071e+01
-7.889999999999999680e+00 3.000000000000000000e+00 1.319999999999999929e+01
-7.887999999999999901e+00 3.000000000000000000e+00 1.319999999999999929e+01
-7.886000000000000121e+00 3.000000000000000000e+00 1.319999999999999929e+01
-7.884000000000000341e+00 3.000000000000000000e+00 1.319999999999999929e+01
-7.881999999999999673e+00 3.000000000000000000e+00 1.319999999999999929e+01
-7.879999999999999893e+00 3.000000000000000000e+00 1.319999999999999929e+01
-7.878000000000000114e+00 3.000000000000000000e+00 1.319999999999999929e+01
-7.876000000000000334e+00 3.000000000000000000e+00 1.319999999999999929e+01
-7.873999999999999666e+00 3.000000000000000000e+00 1.319999999999999929e+01
-7.871999999999999886e+00 3.000000000000000000e+00 1.309999999999999964e+01
-7.870000000000000107e+00 3.000000000000000000e+00 1.309999999999999964e+01
-7.868000000000000327e+00 3.000000000000000000e+00 1.309999999999999964e+01
-7.865999999999999659e+00 3.000000000000000000e+00 1.309999999999999964e+01
-7.863999999999999879e+00 3.000000000000000000e+00 1.309999999999999964e+01
-7.862000000000000099e+00 3.000000000000000000e+00 1.309999999999999964e+01
-7.860000000000000320e+00 3.000000000000000000e+00 1.309999999999999964e+01
-7.857999999999999652e+00 3.000000000000000000e+00 1.309999999999999964e+01
-7.855999999999999872e+00 3.000000000000000000e+00 1.309999999999999964e+01
-7.854000000000000092e+00 3.000000000000000000e+00 1.300000000000000000e+01
-7.852000000000000313e+00 3.000000000000000000e+00 1.300000000000000000e+01
-7.849999999999999645e+00 3.000000000000000000e+00 1.300000000000000000e+01
-7.847999999999999865e+00 3.000000000000000000e+00 1.280000000000000071e+01
-7.846000000000000085e+00 3.000000000000000000e+00 1.280000000000000071e+01
